[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1616447463.258000 3/22/2021, 10:11:03 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: H5T_Lin_NoO.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1616447463.258,,0.000000e+000,3.000026e+001,-2.433982e-008,4.101312e-009,0.000000e+000,0.000000e+000,2,3.897990e-002,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.339218e-003,0,,0,
1616447652.017,,2.000000e+002,3.000084e+001,-5.986558e-007,3.973307e-009,0.000000e+000,0.000000e+000,2,8.964517e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616447846.797,,4.000000e+002,3.000041e+001,-1.219413e-006,3.294913e-009,0.000000e+000,0.000000e+000,2,8.697177e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.449585e-003,0,,0,
1616448036.016,,6.000000e+002,3.000056e+001,-1.995630e-006,1.148651e-008,0.000000e+000,0.000000e+000,2,8.697315e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.449585e-003,0,,0,
1616448224.315,,8.000000e+002,3.000041e+001,-2.891850e-006,5.465482e-009,0.000000e+000,0.000000e+000,2,8.765936e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.339218e-003,0,,0,
1616448413.094,,1.000000e+003,3.000128e+001,-3.836964e-006,9.990615e-009,0.000000e+000,0.000000e+000,2,8.844652e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.339218e-003,0,,0,
1616448627.774,,1.500000e+003,3.000099e+001,-6.268821e-006,2.112674e-008,0.000000e+000,0.000000e+000,2,8.957297e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616448823.613,,2.000000e+003,3.000041e+001,-8.724655e-006,1.182102e-008,0.000000e+000,0.000000e+000,2,9.016173e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.449585e-003,0,,0,
1616449021.473,,2.500000e+003,3.000027e+001,-1.118597e-005,3.721100e-008,0.000000e+000,0.000000e+000,2,9.042531e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.899170e-003,0,,0,
1616449220.312,,3.000000e+003,3.000041e+001,-1.365907e-005,4.190844e-008,0.000000e+000,0.000000e+000,2,9.036031e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,5.788803e-003,0,,0,
1616449416.432,,3.500000e+003,3.000012e+001,-1.615851e-005,3.637053e-008,0.000000e+000,0.000000e+000,2,9.048181e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.339218e-003,0,,0,
1616449613.931,,4.000000e+003,3.000070e+001,-1.867537e-005,7.820125e-008,0.000000e+000,0.000000e+000,2,9.060479e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616449807.530,,5.000000e+003,3.000084e+001,-2.360206e-005,5.291974e-008,0.000000e+000,0.000000e+000,2,9.050786e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616450006.980,,6.000000e+003,3.000070e+001,-2.856835e-005,6.125696e-008,0.000000e+000,0.000000e+000,2,9.045367e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.339218e-003,0,,0,
1616450206.309,,7.000000e+003,3.000113e+001,-3.352357e-005,3.043520e-008,0.000000e+000,0.000000e+000,2,9.042009e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.440048e-003,0,,0,
1616450394.398,,8.000000e+003,3.000084e+001,-3.849199e-005,4.509383e-008,0.000000e+000,0.000000e+000,2,9.029759e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.339218e-003,0,,0,
1616450573.888,,9.000000e+003,3.000041e+001,-4.346936e-005,5.990089e-008,0.000000e+000,0.000000e+000,2,9.017667e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.339218e-003,0,,0,
1616450761.867,,1.000000e+004,3.000142e+001,-4.837478e-005,5.402948e-008,0.000000e+000,0.000000e+000,2,9.002704e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616450947.027,,1.200000e+004,2.999998e+001,-5.830494e-005,7.256533e-008,0.000000e+000,0.000000e+000,2,8.994551e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.899170e-003,0,,0,
1616451139.646,,1.400000e+004,2.999954e+001,-6.840725e-005,8.950110e-008,0.000000e+000,0.000000e+000,2,8.989814e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.899170e-003,0,,0,
