[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1616222331.431000 3/20/2021, 7:38:51 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: SiC_measuring_sequence.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1616222331.431,,1.000000e+003,5.003016e+000,-2.590570e-006,2.219997e-008,3.502303e-001,1.933243e-003,3,6.854838e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,6.494999e-003,0,,0,
1616222599.699,,1.000000e+003,1.000416e+001,-2.711454e-006,7.211922e-009,3.045231e-001,1.002875e-003,3,6.959404e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,5.680084e-003,0,,0,
1616222866.556,,1.000000e+003,1.500224e+001,-2.757036e-006,7.510299e-009,2.900916e-001,5.486227e-004,3,7.002674e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,7.040024e-003,0,,0,
1616223132.429,,1.000000e+003,1.999967e+001,-2.775708e-006,2.578320e-009,2.810745e-001,1.261998e-003,3,7.025730e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,7.501602e-003,0,,0,
1616223399.513,,1.000000e+003,2.500359e+001,-2.793435e-006,1.074447e-008,2.777243e-001,1.761531e-003,3,7.043871e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,6.200790e-003,0,,0,
1616223672.446,,1.000000e+003,3.000128e+001,-2.805439e-006,6.191248e-009,2.774719e-001,8.196212e-004,3,7.043587e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.440048e-003,0,,0,
1616223957.392,,1.000000e+003,3.500161e+001,-2.809894e-006,9.498701e-009,2.761764e-001,1.306102e-003,3,7.044716e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.849030e-003,0,,0,
1616224253.171,,1.000000e+003,4.000097e+001,-2.815721e-006,4.470703e-009,2.754665e-001,1.747066e-003,3,7.038308e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,6.900787e-003,0,,0,
1616224553.500,,1.000000e+003,4.500242e+001,-2.822429e-006,4.934017e-009,2.740144e-001,1.244732e-003,3,7.041771e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.460480e-003,0,,0,
1616224837.284,,1.000000e+003,5.000542e+001,-2.823315e-006,6.117435e-009,2.732957e-001,1.925213e-003,3,7.052083e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.491165e-002,0,,0,
1616225112.618,,1.000000e+003,5.501188e+001,-2.835957e-006,8.031903e-009,2.741494e-001,1.855449e-003,3,7.051234e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.490997e-002,0,,0,
1616225427.433,,1.000000e+003,6.001217e+001,-2.836369e-006,7.492457e-009,2.753336e-001,2.382280e-003,3,7.036110e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.144836e-002,0,,0,
1616225711.405,,1.000000e+003,6.502021e+001,-2.839612e-006,7.720712e-009,2.770356e-001,1.648993e-003,3,7.019579e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.409576e-002,0,,0,
1616225997.668,,1.000000e+003,7.002374e+001,-2.844627e-006,8.770939e-009,2.807401e-001,1.153970e-003,3,7.037205e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.474640e-002,0,,0,
1616226285.344,,1.000000e+003,7.502767e+001,-2.843923e-006,9.324333e-009,2.828932e-001,2.875097e-003,3,7.014670e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,5.407715e-002,0,,0,
1616226572.380,,1.000000e+003,8.003117e+001,-2.858195e-006,8.245735e-009,2.869709e-001,2.454484e-003,3,6.995541e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,5.020142e-002,0,,0,
1616226860.504,,1.000000e+003,8.503517e+001,-2.865213e-006,1.141736e-008,2.913533e-001,1.889773e-003,3,6.969510e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,6.817627e-002,0,,0,
1616227145.883,,1.000000e+003,9.004017e+001,-2.862096e-006,1.607117e-009,2.916344e-001,2.396151e-003,3,6.969429e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,6.679535e-002,0,,0,
1616227430.566,,1.000000e+003,9.504182e+001,-2.516381e-006,8.337920e-009,1.222352e-001,1.931289e-003,3,7.702795e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,7.866669e-002,0,,0,
1616227715.717,,1.000000e+003,1.000482e+002,-2.514616e-006,3.102875e-009,1.265105e-001,2.127831e-003,3,7.707474e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,7.300568e-002,0,,0,
1616227993.280,,1.000000e+003,1.050579e+002,-2.597371e-006,8.089772e-009,4.162506e-002,1.588906e-003,3,8.859375e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.096954e-001,0,,0,
1616228271.617,,1.000000e+003,1.100573e+002,-2.601124e-006,2.138619e-009,4.092860e-002,1.117438e-003,3,8.870755e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,8.409882e-002,0,,0,
1616228548.339,,1.000000e+003,1.150662e+002,-2.601745e-006,7.917186e-009,4.049673e-002,2.059354e-003,3,8.882394e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,9.840393e-002,0,,0,
1616228826.121,,1.000000e+003,1.200597e+002,-2.609635e-006,6.346519e-009,4.291539e-002,2.079792e-003,3,8.878538e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.139984e-001,0,,0,
1616229106.651,,1.000000e+003,1.250612e+002,-2.529843e-006,5.343278e-009,-4.609320e-003,1.800396e-003,3,8.993935e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.107025e-001,0,,0,
1616229388.140,,1.000000e+003,1.300664e+002,-2.528842e-006,1.273799e-008,-9.208503e-004,3.008925e-003,3,9.006293e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.233978e-001,0,,0,
1616229670.852,,1.000000e+003,1.350603e+002,-2.527443e-006,7.832965e-009,-1.710672e-003,1.280031e-003,3,9.002392e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.134949e-001,0,,0,
1616229956.487,,1.000000e+003,1.400659e+002,-2.537924e-006,1.422346e-008,-2.418701e-004,1.907957e-003,3,9.006403e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.264954e-001,0,,0,
