[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1616827283.442000 3/27/2021, 7:41:23 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, SF-14
INFO, WEIGHT, 24.596
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 47.366/22.770
INFO, SEQUENCE FILE: SiC_measuring_sequence.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1616827283.442,,1.000000e+003,5.002031e+000,-1.276542e-006,8.527150e-009,2.921872e-001,5.792981e-003,3,6.457057e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.976822e-003,0,,0,
1616827549.746,,1.000000e+003,1.000329e+001,-1.446804e-006,7.165363e-009,2.274187e-001,9.646987e-004,3,6.866090e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,6.149292e-003,0,,0,
1616827815.576,,1.000000e+003,1.500162e+001,-1.506645e-006,5.438397e-009,2.111110e-001,3.641492e-003,3,7.017139e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,7.040024e-003,0,,0,
1616828082.794,,1.000000e+003,1.999851e+001,-1.539345e-006,6.946562e-009,2.008952e-001,4.547289e-003,3,7.066930e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,8.180618e-003,0,,0,
1616828391.362,,1.000000e+003,2.500070e+001,-1.561604e-006,8.647384e-009,1.957627e-001,3.045341e-003,3,7.110682e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,5.170822e-003,0,,0,
1616828708.177,,1.000000e+003,3.000084e+001,-1.572624e-006,3.601643e-009,1.972321e-001,4.341287e-003,3,7.122275e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616829036.309,,1.000000e+003,3.500146e+001,-1.578482e-006,6.722393e-009,1.952829e-001,2.380637e-003,3,7.133044e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.619598e-003,0,,0,
1616829365.342,,1.000000e+003,4.000027e+001,-1.592921e-006,6.578517e-009,1.916444e-001,5.105155e-003,3,7.153836e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.940582e-003,0,,0,
1616829663.997,,1.000000e+003,4.500034e+001,-1.589731e-006,6.034051e-009,1.955628e-001,4.291871e-003,3,7.174206e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.681183e-003,0,,0,
1616829946.460,,1.000000e+003,5.000587e+001,-1.601650e-006,5.946360e-009,1.949568e-001,6.972924e-004,3,7.179871e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.491928e-002,0,,0,
1616830223.095,,1.000000e+003,5.501099e+001,-1.598515e-006,4.837906e-009,1.949359e-001,5.659334e-003,3,7.178410e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.670288e-002,0,,0,
1616830501.549,,1.000000e+003,6.001238e+001,-1.604920e-006,8.057591e-009,1.993279e-001,3.486497e-003,3,7.148113e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.725983e-002,0,,0,
1616830782.696,,1.000000e+003,6.501949e+001,-1.610828e-006,4.597236e-009,1.978563e-001,6.129224e-003,3,7.162664e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.896332e-002,0,,0,
1616831066.237,,1.000000e+003,7.002486e+001,-1.612066e-006,6.917007e-009,1.941110e-001,1.954764e-003,3,7.165313e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.193878e-002,0,,0,
1616831353.760,,1.000000e+003,7.502831e+001,-1.614990e-006,4.208831e-009,1.998462e-001,2.230920e-003,3,7.102206e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,5.407715e-002,0,,0,
1616831659.485,,1.000000e+003,8.002114e+001,-1.615397e-006,9.501870e-009,2.021801e-001,2.781529e-003,3,7.095680e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,3.227234e-002,0,,0,
1616831945.432,,1.000000e+003,8.503798e+001,-1.623748e-006,6.706583e-009,2.075493e-001,4.233170e-003,3,7.097529e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,7.217407e-002,0,,0,
1616832229.993,,1.000000e+003,9.003972e+001,-1.626226e-006,6.767391e-009,2.054095e-001,1.891763e-003,3,7.098007e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,7.125092e-002,0,,0,
1616832515.985,,1.000000e+003,9.504279e+001,-1.628770e-006,7.142701e-009,2.081374e-001,5.117856e-003,3,7.068877e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,7.866669e-002,0,,0,
1616832799.015,,1.000000e+003,1.000501e+002,-1.627648e-006,6.178491e-009,2.085416e-001,4.064174e-003,3,7.042527e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,9.189606e-002,0,,0,
1616833076.087,,1.000000e+003,1.050605e+002,-1.734584e-006,4.351568e-008,8.994564e-002,3.847509e-002,3,8.893765e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,8.879852e-002,0,,0,
1616833353.273,,1.000000e+003,1.100651e+002,-1.766023e-006,5.357235e-009,7.566307e-002,3.840446e-003,3,9.198970e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.131973e-001,0,,0,
